titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image,boxoffice
Belgica,2016-03-02,Comédie dramatique,127,Felix Van Groeningen,Pyramide Distribution,"Tom Vermeir,Stef Aerts,Hélène De Vos",Belgique,Flamand,Long-métrage,2016,22,"Jo et Frank sont frères, et comme souvent dans les familles, ces deux-là sont très différents. Jo, célibataire et passionné de musique, vient d’ouvrir son propre bar à Gand, le Belgica. Frank, père de famille à la vie bien rangée et sans surprise, propose à Jo de le rejoindre pour l’aider à faire tourner son bar. Sous l'impulsion de ce duo de choc, le Belgica devient en quelques semaines the place to be…",227242,https://fr.web.img5.acsta.net/c_310_420/pictures/16/02/15/11/52/547524.jpg,28477
L'Orchestre de minuit,2016-03-02,Comédie dramatique,113,Jérôme Cohen-Olivar,Marco Polo Production,"Gad Elmaleh,Avishay Benazra,Aziz Dades",Maroc,Français,Long-métrage,2015,6,"À la demande de son père, célèbre musicien marocain, Mickael Abitbol, trader aux Etats-Unis, est de retour dans son pays natal qu’il voulait oublier. Les retrouvailles ne sont que de courte durée : son père meurt sans lui expliquer les raisons pour lesquelles il l’a fait venir. Il va alors faire la connaissance d’Ali, chauffeur de taxi et véritable fan de son père. Ensemble, ils partent à la rencontre des membres de l’Orchestre de Minuit. Le choc des cultures est assuré !",243092,https://fr.web.img6.acsta.net/c_310_420/pictures/16/07/06/09/38/152236.jpg,1453
"Deux Rémi, deux",2016-03-02,Comédie,66,Pierre Léon,Vendredi Distribution,"Pascal Cervo,Serge Bozon,Luna Picoli-Truffaut",France,Français,Long-métrage,2015,8,"Rémi, trente ans mène une vie plutôt tranquille. Il travaille dans une petite entreprise au nom original de « Chat va bien », il est amoureux de la fille de son patron. Mais une nuit, il rencontre son « double » avec qui il va devoir cohabiter et dont la présence semble ne pas étonner plus que ça son entourage. Cet alter ego, est-ce un ami, un ennemi, un frère, ou simplement la version dernier cri de Rémi ? Qui de la copie ou de l’originale triomphera sur l’autre ?",241029,https://fr.web.img4.acsta.net/c_310_420/pictures/16/01/27/11/38/019664.jpg,704
La Chute de Londres,2016-03-02,Action_Thriller,99,Babak Najafi,SND,"Gerard Butler,Aaron Eckhart,Morgan Freeman",U.S.A.,Anglais,Long-métrage,2016,6,"Les plus grands leaders du monde occidental sont attendus à Londres aux funérailles du Premier ministre britannique, mort dans des circonstances plus que douteuses. Mais ce qui avait commencé comme l’évènement le plus sécurisé de la planète tourne rapidement au désastre. Cible d’un complot terroriste, la capitale anglaise est mise à feu et à sang et la plupart des chefs d’état faits prisonniers. Seuls ont pu s’échapper le président américain et l’agent secret Mike Banning, qui vont devoir à la fois combattre pour survivre et mettre fin aux agissements des terroristes.",224988,https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/19/09/40/050737.jpg,193923
Zoolander 2,2016-03-02,Comédie,102,Ben Stiller,Paramount Pictures France,"Ben Stiller,Owen Wilson,Penélope Cruz",U.S.A.,Anglais,Long-métrage,2016,19,"Blue Steel. Le Tigre. Magnum… Des regards si puissants qu’ils arrêtent des shuriken en plein vol et déjouent les plans de domination mondiale les plus diaboliques. Un seul top model est capable de conjurer autant de puissance et de beauté dans une duck-face : Derek Zoolander ! Quinze ans après avoir envoyé Mugatu derrière les barreaux, Derek et son rival/meilleur ami Hansel, évincés de l’industrie de la mode suite à une terrible catastrophe, mènent des vies de reclus aux deux extrémités du globe. Mais lorsqu’un mystérieux assassin cible des popstars célèbres, les deux has-been des podiums se rendent à Rome pour reconquérir leur couronne de super mannequins et aider la belle Valentina, de la Fashion Police d’Interpol, à sauver le monde. Et la mode.",146631,https://fr.web.img5.acsta.net/c_310_420/pictures/16/01/26/13/56/487595.jpg,46701
Le Crime du sommelier,2016-03-02,Drame,92,Ferdinando Vicentini Orgnani,Tucuman Films,"Vincenzo Amato,Lambert Wilson,Daniela Virgilio",Italie,Italien,Long-métrage,2014,10,Giovanni est l’expert en vins le plus réputé d’Italie. Il a quitté son emploi dans la banque pour se consacrer à l’art de la dégustation et de l’identification de cuvées d’exception. Jusqu’au jour où il est accusé d’avoir tué sa femme Adele et se retrouve au commissariat ; c’est là que le voile sera enfin levé sur l’énigme de sa passion démesurée pour le vin.,231922,https://fr.web.img6.acsta.net/c_310_420/pictures/16/02/12/11/49/080099.jpg,1825
Éperdument,2016-03-02,Drame,110,Pierre Godeau,StudioCanal,"Guillaume Gallienne,Adèle Exarchopoulos,Stéphanie Cléau",France,Français,Long-métrage,2015,19,"Un homme, une femme.",232134,https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/29/18/05/039067.jpg,113006
Divergente 3 : au-delà du mur,2016-03-09,Action_Aventure_Science fiction,120,Robert Schwentke,SND,"Shailene Woodley,Theo James,Jeff Daniels",U.S.A.,Anglais,Long-métrage,2016,17,"Sous le choc, Tris et Quatre doivent fuir et franchir le mur encerclant Chicago. Pour la première fois, ils quittent la seule ville et famille qu'ils aient connues. Mais au delà du mur se trouve un monde hostile qu'ils vont devoir affronter. Tris et Quatre doivent rapidement déterminer en qui ils peuvent avoir confiance alors qu’une bataille menaçant l’humanité toute entière est sur le point d'éclater...",225920,https://fr.web.img5.acsta.net/c_310_420/pictures/16/02/18/15/30/225612.jpg,787050
Des nouvelles de la planète Mars,2016-03-09,Comédie,101,Dominik Moll,Diaphana Distribution,"François Damiens,Vincent Macaigne,Veerle Baetens",France,Français,Long-métrage,2015,24,"Philippe Mars, ingénieur informaticien divorcé, essaye tant bien que mal de mener une vie tranquille, entre un fils collégien devenu subitement végétarien, une fille lycéenne obsédée par la réussite, une soeur artiste peintre aux oeuvres terriblement impudiques et une ex-femme qui bosse à la télé… L’irruption accidentelle de Jérôme, un collègue légèrement perturbé, achève de transformer son existence en chaos. Mais dans un monde qui a perdu la raison, la folie est-elle vraiment si mauvaise conseillère ?",236711,https://fr.web.img2.acsta.net/c_310_420/pictures/16/02/11/16/37/198611.jpg,40312
C'est l'amour,2016-03-09,Drame_Romance,97,Paul Vecchiali,Shellac,"Pascal Cervo,Astrid Adverbe,Julien Lucq",France,Français,Long-métrage,2015,12,"Odile soupçonne Jean, son mari, de la tromper. Elle décide de lui rendre la pareille et accomplit sa vengeance dans les bras de Daniel, qui, lui, partage la vie d’Albert. Un amour irrépressible naît entre Odile et Daniel : il aura des conséquences inattendues. Aux dépens de Jean comme d’Albert.",241991,https://fr.web.img2.acsta.net/c_310_420/pictures/16/02/18/14/55/145137.jpg,1333
Leave to Remain,2016-03-09,Drame,90,Bruce Goodison,Chapeau Melon Distribution,"Toby Jones,Noof McEwan,Yasmin Mwanza",Grande-Bretagne,Anglais,Long-métrage,2013,4,"Trois adolescents demandent l'asile au Royaume-Uni, laissant derrière eux leur famille et leur passé dans l'espoir d'une vie plus sûre. Dans l’attente de leur statut de réfugié, ces jeunes doivent faire face au système d’asile, jeu impitoyable dominé par le hasard.",216310,https://fr.web.img4.acsta.net/c_310_420/pictures/16/01/11/12/45/249946.jpg,84
Louis-Ferdinand Céline,2016-03-09,Drame,97,Emmanuel Bourdieu,Paradis Films,"Denis Lavant,Géraldine Pailhas,Philip Desmeules",France,Français,Long-métrage,2015,18,"1948. Accusé par la justice française d’avoir collaboré avec les Nazis, Louis-Ferdinand Céline s’est exilé au Danemark avec sa femme, Lucette. Milton Hindus, jeune écrivain juif américain, qui l’admire et le soutient avec ferveur, le rejoint au fin fond de la campagne danoise, avec l’intention de tirer de leur rencontre un livre de souvenirs. De la confrontation entre les deux hommes, personne ne sortira indemne…",237679,https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/28/17/16/070472.jpg,10951
Solange et les vivants,2016-03-09,Comédie,67,Ina Mihalache,Wide Distribution,"Ina Mihalache,Pierre Siankowski,Francis Van Litsenborgh",France,Français,Long-métrage,2016,6,"Un jour que Solange est à étudier les moutons de poussières de son appartement, on sonne. Un livreur prétend détenir un colis à son attention. Pourtant Solange est formelle : c’est impossible. Le malentendu s’intensifiant, Solange s’écroule. Lorsqu’un médecin suggère que quelqu'un veille sur elle pour la nuit, son propriétaire se dévoue. Mais rappelé à ses activités, il décide de recruter un nouveau veilleur... Une véritable chaîne humaine va alors se mettre en place pour ne plus laisser Solange à son isolement, car il semble bien que cette thérapie relationnelle lui soit bénéfique…",243603,https://fr.web.img5.acsta.net/c_310_420/pictures/16/01/04/14/19/483333.jpg,1335
Brooklyn,2016-03-09,Drame_Romance,113,John Crowley,Twentieth Century Fox France,"Saoirse Ronan,Domhnall Gleeson,Emory Cohen",Irlande,Anglais,Long-métrage,2015,20,,224890,https://fr.web.img3.acsta.net/c_310_420/pictures/16/02/05/11/25/109121.jpg,56305
DieuMerci !,2016-03-09,Comédie,95,Lucien Jean-Baptiste,Wild Bunch Distribution,"Lucien Jean-Baptiste,Baptiste Lecaplain,Delphine Théodore",France,Français,Long-métrage,2015,16,"À sa sortie de prison, Dieumerci, 44 ans, décide de changer de vie et de suivre son rêve : devenir comédien. Pour y arriver, il s’inscrit à des cours de théâtre qu'il finance par des missions d'intérim. Mais il n'est pas au bout de ses peines. Son binôme Clément, 22 ans, lui est opposé en tout. Dieumerci va devoir composer avec ce petit ""emmerdeur"". Il l’accueille dans sa vie précaire faite d'une modeste chambre d'hôtel et de chantiers. Au fil des galères et des répétitions, nos deux héros vont apprendre à se connaître et s’épauler pour tenter d'atteindre l'inaccessible étoile.",235845,https://fr.web.img3.acsta.net/c_310_420/pictures/15/12/24/09/32/263054.jpg,74650
Pseudonym,2016-03-09,Thriller,74,Thierry Sebban,Destiny Films,"Perrine Tourneux,Igor Skreblin,Thierry Sebban",France,Français,Long-métrage,2014,6,"Alex est un père divorcé, un cadre stressé. Ce soir, il a un rendez-vous avec une jeune inconnue… sur Internet. Mais cette rencontre va le plonger dans une spirale infernale et bouleverser à jamais le cours de sa vie. Une chasse à l'homme se met en place jusqu'à ce qu'il soit pris au piège. Cette nuit, c'est lui la proie...",196047,https://fr.web.img6.acsta.net/c_310_420/pictures/15/12/09/16/14/382970.jpg,50
Room,2016-03-09,Drame_Thriller,118,Lenny Abrahamson,Universal Pictures International France,"Brie Larson,Jacob Tremblay,Joan Allen",Canada,Anglais,Long-métrage,2015,31,"Jack, 5 ans, vit seul avec sa mère, Ma. Elle lui apprend à jouer, à rire et à comprendre le monde qui l’entoure. Un monde qui commence et s’arrête aux murs de leur chambre, où ils sont retenus prisonniers, le seul endroit que Jack ait jamais connu. L’amour de Ma pour Jack la pousse à tout risquer pour offrir à son fils une chance de s’échapper et de découvrir l’extérieur, une aventure à laquelle il n’était pas préparé.",228263,https://fr.web.img2.acsta.net/c_310_420/pictures/16/02/16/16/52/211080.jpg,74270
Pursuit of Loneliness,2016-03-09,Drame,96,Laurence Thrush,Ed Distribution,"Joy Hille,Sandra Escalante,Suzanne Faha",U.S.A.,Anglais,Long-métrage,2012,13,"A Los Angeles, une femme âgée meurt anonymement dans un hôpital du comté. Durant les prochaines 24 heures, quatre personnages centraux - une infirmière, une assistante sociale, la personne à contacter en cas d'urgence indiquée sur le formulaire d'admission et un enquêteur des services publics - partent à la recherche de la famille de la défunte.",202821,https://fr.web.img4.acsta.net/c_310_420/pictures/16/02/05/17/28/070302.jpg,348
Lettres au Père Jacob,2016-03-09,Drame,74,Klaus Härö,Saje Distribution,"Kaarina Hazard,Heikki Nousiainen,Jukka Keinonen",Finlande,Finnois,Long-métrage,2009,12,"Condamnée à perpétuité pour meurtre, Leila est mystérieusement libérée après seulement douze ans. Envoyée auprès d’un vieux prêtre aveugle et isolé pour être sa nouvelle assistante, elle devra répondre à l’abondant courrier qu’il reçoit chaque jour. Indifférente à tout cela, Leila va tenter de profiter de la cécité de son hôte…",174341,https://fr.web.img4.acsta.net/c_310_420/pictures/16/01/04/15/31/288202.jpg,1400
Suite Armoricaine,2016-03-09,Drame,148,Pascale Breton,Météore Films,"Valérie Dréville,Kaou Langoët,Elina Löwensohn",France,Français,Long-métrage,2015,17,"Une année universitaire à Rennes vécue par deux personnages dont les destins s'entrelacent : Françoise, enseignante en histoire de l'art, et Ion, étudiant en géographie. Trop occupés à fuir leurs fantômes, ils ignorent qu'ils ont un passé en commun.",239532,https://fr.web.img5.acsta.net/c_310_420/pictures/16/01/26/09/24/310460.jpg,5791
Évolution,2016-03-16,Fantastique,81,Lucile Hadzihalilovic,Potemkine Films,"Max Brebant,Julie-Marie Parmentier,Roxane Duran",France,Français,Long-métrage,2015,23,"Nicolas, onze ans, vit avec sa mère dans un village isolé au bord de l’océan, peuplé uniquement de femmes et de garçons de son âge. Dans un hôpital qui surplombe la mer, tous les enfants reçoivent un mystérieux traitement. Nicolas est le seul à se questionner. Il a l’impression que sa mère lui ment et il voudrait savoir ce qu’elle fait la nuit sur la plage avec les autres femmes. Au cours des étranges et inquiétantes découvertes qu’il fera, Nicolas trouvera une alliée inattendue en la personne d’une jeune infirmière de l’hôpital…",143613,https://fr.web.img6.acsta.net/c_310_420/pictures/16/02/11/13/01/554584.jpg,2100
Marseille,2016-03-16,Comédie_Drame,102,Kad Merad,Pathé,"Kad Merad,Patrick Bosso,Venantino Venantini",France,Français,Long-métrage,2015,17,"Devant l'insistance de son frère Joseph, qu'il n'a pas revu depuis 25 ans, Paolo se résout à abandonner quelques jours sa vie calme et harmonieuse au Canada, pour revenir à Marseille au chevet de son père accidenté. Il part donc, son fils sous le bras, bien décidé à ne pas s'attarder dans cette ville qu'il a fui, des années plus tôt, à la suite d'un drame. Il n'imagine pas que l'affection de sa famille retrouvée, sa rencontre amoureuse avec une jeune femme et la solidarité joyeuse et simple des Marseillais le réconcilieront avec cette ville qu'il n'aurait jamais voulu quitter... Marseille.",232393,https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/15/10/31/199518.jpg,322914
Criminel,2016-03-16,Drame,96,Viktor Dement,Borealia Films,"Aleksei Guskov,Nadezhda Markina,Anastasia Sheveleva",Russie,Russe,Long-métrage,2015,8,"Trofim Rusanov est un garde-pêche dur et intraitable. Il estime qu’il est la Loi et que les autres sont des “salauds et des voleurs”. À la suite d’une mésaventure, il se retrouve isolé dans la taïga, à des dizaines de kilomètres de toute habitation humaine. La trouvaille qu’il va faire dans ce milieu hostile va changer radicalement sa vision de l’existence.",244108,https://fr.web.img4.acsta.net/c_310_420/pictures/16/01/11/13/04/280301.jpg,1416
